Day,Hour,Minute,Netwokr
5,13,53,42.93513056952561
5,13,52,46.63654972773758
5,13,51,41.42179849102243
5,13,50,41.99615031380211
5,13,49,45.04914090388452
5,13,48,49.9858088043968
5,13,47,50.51098526187081
5,13,46,52.45782235180504
5,13,45,49.14523454862435
5,13,44,49.504590365257826
